Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
pen-v-2-red,"Pen V-2 Red","<p>Pen V-2 Red</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,pen-v-2-red,shopify,100,deny,manual,0.00,true,true,active
pencil-2b,"Pencil 2B","<p>Pencil 2B</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,pencil-2b,shopify,100,deny,manual,0.00,true,true,active
pencil-sharpener-large,"Pencil Sharpener Large","<p>Pencil Sharpener Large</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,pencil-sharpener-large,shopify,100,deny,manual,0.00,true,true,active
pencil-sharpener-small,"Pencil Sharpener Small","<p>Pencil Sharpener Small</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,pencil-sharpener-small,shopify,100,deny,manual,0.00,true,true,active
eraser,"Eraser","<p>Eraser</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,eraser,shopify,100,deny,manual,0.00,true,true,active
correction-tape,"Correction Tape","<p>Correction Tape</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,correction-tape,shopify,100,deny,manual,0.00,true,true,active
tipex-small,"Tipex Small","<p>Tipex Small</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,tipex-small,shopify,100,deny,manual,0.00,true,true,active
tipex-kenko,"Tipex Kenko","<p>Tipex Kenko</p>",KlicknKart,Office Supplies,"Pens & Pencils","Pens & Pencils,stationery,office-supplies",true,Title,Default Title,tipex-kenko,shopify,100,deny,manual,0.00,true,true,active
binder-file-2-ring-small-espp,"Binder File 2 Ring - Small (ESPP)","<p>Binder File 2 Ring - Small (ESPP)</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,binder-file-2-ring-small-espp,shopify,100,deny,manual,0.00,true,true,active
binder-file-2-ring-a4-white-espp,"Binder File 2 Ring - A4 White (ESPP)","<p>Binder File 2 Ring - A4 White (ESPP)</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,binder-file-2-ring-a4-white-espp,shopify,100,deny,manual,0.00,true,true,active
binder-file-2-ring-large-espp,"Binder File 2 Ring - Large (ESPP)","<p>Binder File 2 Ring - Large (ESPP)</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,binder-file-2-ring-large-espp,shopify,100,deny,manual,0.00,true,true,active
binder-file-2-ring-a4-large-bantex,"Binder File 2 Ring - A4 Large (Bantex)","<p>Binder File 2 Ring - A4 Large (Bantex)</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,binder-file-2-ring-a4-large-bantex,shopify,100,deny,manual,0.00,true,true,active
binder-file-2-ring-a4-small-bantex,"Binder File 2 Ring - A4 Small (Bantex)","<p>Binder File 2 Ring - A4 Small (Bantex)</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,binder-file-2-ring-a4-small-bantex,shopify,100,deny,manual,0.00,true,true,active
hanging-files,"Hanging Files","<p>Hanging Files</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,hanging-files,shopify,100,deny,manual,0.00,true,true,active
box-file,"Box File","<p>Box File</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,box-file,shopify,100,deny,manual,0.00,true,true,active
box-file-plastic,"Box File Plastic","<p>Box File Plastic</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,box-file-plastic,shopify,100,deny,manual,0.00,true,true,active
a4-divider-abjad,"A4 Divider - Abjad","<p>A4 Divider - Abjad</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,a4-divider-abjad,shopify,100,deny,manual,0.00,true,true,active
a4-divider-number,"A4 Divider - Number","<p>A4 Divider - Number</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,a4-divider-number,shopify,100,deny,manual,0.00,true,true,active
divider-blank,"Divider Blank","<p>Divider Blank</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,divider-blank,shopify,100,deny,manual,0.00,true,true,active
a4-manila-folder,"A4 Manila Folder","<p>A4 Manila Folder</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,a4-manila-folder,shopify,100,deny,manual,0.00,true,true,active
a4-plastic-folder-sheet-protector-pack-of-10,"A4 Plastic Folder / Sheet Protector (Pack of 10)","<p>A4 Plastic Folder / Sheet Protector (Pack of 10)</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,a4-plastic-folder-sheet-protector-pack-o,shopify,100,deny,manual,0.00,true,true,active
a4-plastic-folder-sheet-protector-pack-of-20,"A4 Plastic Folder / Sheet Protector (Pack of 20)","<p>A4 Plastic Folder / Sheet Protector (Pack of 20)</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,a4-plastic-folder-sheet-protector-pack-o,shopify,100,deny,manual,0.00,true,true,active
a4-binding-plastic,"A4 Binding Plastic","<p>A4 Binding Plastic</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,a4-binding-plastic,shopify,100,deny,manual,0.00,true,true,active
binding-plastic-18m,"Binding Plastic 18M","<p>Binding Plastic 18M</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,binding-plastic-18m,shopify,100,deny,manual,0.00,true,true,active
f4-binding-plastic,"F4 Binding Plastic","<p>F4 Binding Plastic</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,f4-binding-plastic,shopify,100,deny,manual,0.00,true,true,active
clear-bag,"Clear Bag","<p>Clear Bag</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,clear-bag,shopify,100,deny,manual,0.00,true,true,active
clear-folder,"Clear Folder","<p>Clear Folder</p>",KlicknKart,Office Supplies,"Files & Folders","Files & Folders,stationery,office-supplies",true,Title,Default Title,clear-folder,shopify,100,deny,manual,0.00,true,true,active
a4-envelope-air-mail,"A4 Envelope Air Mail","<p>A4 Envelope Air Mail</p>",KlicknKart,Office Supplies,"Envelopes & Holders","Envelopes & Holders,stationery,office-supplies",true,Title,Default Title,a4-envelope-air-mail,shopify,100,deny,manual,0.00,true,true,active
envelope-large,"Envelope Large","<p>Envelope Large</p>",KlicknKart,Office Supplies,"Envelopes & Holders","Envelopes & Holders,stationery,office-supplies",true,Title,Default Title,envelope-large,shopify,100,deny,manual,0.00,true,true,active
envelope-medium,"Envelope Medium","<p>Envelope Medium</p>",KlicknKart,Office Supplies,"Envelopes & Holders","Envelopes & Holders,stationery,office-supplies",true,Title,Default Title,envelope-medium,shopify,100,deny,manual,0.00,true,true,active
envelope-small-140mm-110mm-jaya,"Envelope Small 140mm / 110mm JAYA","<p>Envelope Small 140mm / 110mm JAYA</p>",KlicknKart,Office Supplies,"Envelopes & Holders","Envelopes & Holders,stationery,office-supplies",true,Title,Default Title,envelope-small-140mm-110mm-jaya,shopify,100,deny,manual,0.00,true,true,active
business-card-holder,"Business Card Holder","<p>Business Card Holder</p>",KlicknKart,Office Supplies,"Envelopes & Holders","Envelopes & Holders,stationery,office-supplies",true,Title,Default Title,business-card-holder,shopify,100,deny,manual,0.00,true,true,active
business-file-folder,"Business File Folder","<p>Business File Folder</p>",KlicknKart,Office Supplies,"Envelopes & Holders","Envelopes & Holders,stationery,office-supplies",true,Title,Default Title,business-file-folder,shopify,100,deny,manual,0.00,true,true,active
stapler-large,"Stapler Large","<p>Stapler Large</p>",KlicknKart,Office Supplies,"Staplers & Punches","Staplers & Punches,stationery,office-supplies",true,Title,Default Title,stapler-large,shopify,100,deny,manual,0.00,true,true,active
stapler-no-10,"Stapler No 10","<p>Stapler No 10</p>",KlicknKart,Office Supplies,"Staplers & Punches","Staplers & Punches,stationery,office-supplies",true,Title,Default Title,stapler-no-10,shopify,100,deny,manual,0.00,true,true,active
stapler-no-24-6,"Stapler No 24/6","<p>Stapler No 24/6</p>",KlicknKart,Office Supplies,"Staplers & Punches","Staplers & Punches,stationery,office-supplies",true,Title,Default Title,stapler-no-24-6,shopify,100,deny,manual,0.00,true,true,active
staples-no-10,"Staples No 10","<p>Staples No 10</p>",KlicknKart,Office Supplies,"Staplers & Punches","Staplers & Punches,stationery,office-supplies",true,Title,Default Title,staples-no-10,shopify,100,deny,manual,0.00,true,true,active
staples-no-24-6,"Staples No 24/6","<p>Staples No 24/6</p>",KlicknKart,Office Supplies,"Staplers & Punches","Staplers & Punches,stationery,office-supplies",true,Title,Default Title,staples-no-24-6,shopify,100,deny,manual,0.00,true,true,active
staples-remover,"Staples Remover","<p>Staples Remover</p>",KlicknKart,Office Supplies,"Staplers & Punches","Staplers & Punches,stationery,office-supplies",true,Title,Default Title,staples-remover,shopify,100,deny,manual,0.00,true,true,active
2-hole-punch-medium,"2 Hole Punch Medium","<p>2 Hole Punch Medium</p>",KlicknKart,Office Supplies,"Staplers & Punches","Staplers & Punches,stationery,office-supplies",true,Title,Default Title,2-hole-punch-medium,shopify,100,deny,manual,0.00,true,true,active
2-hole-punch-small,"2 Hole Punch Small","<p>2 Hole Punch Small</p>",KlicknKart,Office Supplies,"Staplers & Punches","Staplers & Punches,stationery,office-supplies",true,Title,Default Title,2-hole-punch-small,shopify,100,deny,manual,0.00,true,true,active
extra-2-hole-large-punch,"Extra 2 Hole Large Punch","<p>Extra 2 Hole Large Punch</p>",KlicknKart,Office Supplies,"Staplers & Punches","Staplers & Punches,stationery,office-supplies",true,Title,Default Title,extra-2-hole-large-punch,shopify,100,deny,manual,0.00,true,true,active
battery-alkaline-aa,"Battery Alkaline AA","<p>Battery Alkaline AA</p>",KlicknKart,Office Supplies,"Batteries","Batteries,stationery,office-supplies",true,Title,Default Title,battery-alkaline-aa,shopify,100,deny,manual,0.00,true,true,active
battery-alkaline-aaa,"Battery Alkaline AAA","<p>Battery Alkaline AAA</p>",KlicknKart,Office Supplies,"Batteries","Batteries,stationery,office-supplies",true,Title,Default Title,battery-alkaline-aaa,shopify,100,deny,manual,0.00,true,true,active
battery-c,"Battery C","<p>Battery C</p>",KlicknKart,Office Supplies,"Batteries","Batteries,stationery,office-supplies",true,Title,Default Title,battery-c,shopify,100,deny,manual,0.00,true,true,active
battery-d,"Battery D","<p>Battery D</p>",KlicknKart,Office Supplies,"Batteries","Batteries,stationery,office-supplies",true,Title,Default Title,battery-d,shopify,100,deny,manual,0.00,true,true,active
battery-alkaline-9-volt,"Battery Alkaline 9 Volt","<p>Battery Alkaline 9 Volt</p>",KlicknKart,Office Supplies,"Batteries","Batteries,stationery,office-supplies",true,Title,Default Title,battery-alkaline-9-volt,shopify,100,deny,manual,0.00,true,true,active
battery-for-pointer-27a,"Battery for Pointer - 27A","<p>Battery for Pointer - 27A</p>",KlicknKart,Office Supplies,"Batteries","Batteries,stationery,office-supplies",true,Title,Default Title,battery-for-pointer-27a,shopify,100,deny,manual,0.00,true,true,active
battery-for-pointer-23ae,"Battery for Pointer - 23AE","<p>Battery for Pointer - 23AE</p>",KlicknKart,Office Supplies,"Batteries","Batteries,stationery,office-supplies",true,Title,Default Title,battery-for-pointer-23ae,shopify,100,deny,manual,0.00,true,true,active
battery-for-pointer-cr-2025,"Battery for Pointer - CR 2025","<p>Battery for Pointer - CR 2025</p>",KlicknKart,Office Supplies,"Batteries","Batteries,stationery,office-supplies",true,Title,Default Title,battery-for-pointer-cr-2025,shopify,100,deny,manual,0.00,true,true,active
battery-for-pointer-cr-2032,"Battery for Pointer - CR 2032","<p>Battery for Pointer - CR 2032</p>",KlicknKart,Office Supplies,"Batteries","Batteries,stationery,office-supplies",true,Title,Default Title,battery-for-pointer-cr-2032,shopify,100,deny,manual,0.00,true,true,active
binder-clips-no-107,"Binder Clips No 107","<p>Binder Clips No 107</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,binder-clips-no-107,shopify,100,deny,manual,0.00,true,true,active
binder-clips-no-155,"Binder Clips No 155","<p>Binder Clips No 155</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,binder-clips-no-155,shopify,100,deny,manual,0.00,true,true,active
binder-clips-no-260,"Binder Clips No 260","<p>Binder Clips No 260</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,binder-clips-no-260,shopify,100,deny,manual,0.00,true,true,active
paper-clip-no-5,"Paper Clip No 5","<p>Paper Clip No 5</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,paper-clip-no-5,shopify,100,deny,manual,0.00,true,true,active
paper-clips-trigonal-no-3,"Paper Clips Trigonal No 3","<p>Paper Clips Trigonal No 3</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,paper-clips-trigonal-no-3,shopify,100,deny,manual,0.00,true,true,active
paper-clip-trigonal-large,"Paper Clip Trigonal Large","<p>Paper Clip Trigonal Large</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,paper-clip-trigonal-large,shopify,100,deny,manual,0.00,true,true,active
binding-machine,"Binding Machine","<p>Binding Machine</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,binding-machine,shopify,100,deny,manual,0.00,true,true,active
a4-binding-cover-paper,"A4 Binding Cover Paper","<p>A4 Binding Cover Paper</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,a4-binding-cover-paper,shopify,100,deny,manual,0.00,true,true,active
plastic-ring-20mm,"Plastic Ring 20mm","<p>Plastic Ring 20mm</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,plastic-ring-20mm,shopify,100,deny,manual,0.00,true,true,active
plastic-ring-18mm,"Plastic Ring 18mm","<p>Plastic Ring 18mm</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,plastic-ring-18mm,shopify,100,deny,manual,0.00,true,true,active
plastic-ring-16mm,"Plastic Ring 16mm","<p>Plastic Ring 16mm</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,plastic-ring-16mm,shopify,100,deny,manual,0.00,true,true,active
plastic-ring-14mm,"Plastic Ring 14mm","<p>Plastic Ring 14mm</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,plastic-ring-14mm,shopify,100,deny,manual,0.00,true,true,active
plastic-ring-10mm,"Plastic Ring 10mm","<p>Plastic Ring 10mm</p>",KlicknKart,Office Supplies,"Binders & Clips","Binders & Clips,stationery,office-supplies",true,Title,Default Title,plastic-ring-10mm,shopify,100,deny,manual,0.00,true,true,active
calculator-casio-gx-125,"Calculator CASIO GX-125","<p>Calculator CASIO GX-125</p>",KlicknKart,Office Supplies,"Calculators","Calculators,stationery,office-supplies",true,Title,Default Title,calculator-casio-gx-125,shopify,100,deny,manual,0.00,true,true,active
calculator-casio-ax120s,"Calculator CASIO AX120S","<p>Calculator CASIO AX120S</p>",KlicknKart,Office Supplies,"Calculators","Calculators,stationery,office-supplies",true,Title,Default Title,calculator-casio-ax120s,shopify,100,deny,manual,0.00,true,true,active
calculator-casio-jj-120d,"Calculator CASIO JJ-120D","<p>Calculator CASIO JJ-120D</p>",KlicknKart,Office Supplies,"Calculators","Calculators,stationery,office-supplies",true,Title,Default Title,calculator-casio-jj-120d,shopify,100,deny,manual,0.00,true,true,active
cd-case-black,"CD Case Black","<p>CD Case Black</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,cd-case-black,shopify,100,deny,manual,0.00,true,true,active
cd-case-red,"CD Case Red","<p>CD Case Red</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,cd-case-red,shopify,100,deny,manual,0.00,true,true,active
cd-rw,"CD RW","<p>CD RW</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,cd-rw,shopify,100,deny,manual,0.00,true,true,active
usb-flash-disk-4gb,"USB Flash Disk 4GB","<p>USB Flash Disk 4GB</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,usb-flash-disk-4gb,shopify,100,deny,manual,0.00,true,true,active
flash-disk-usb-8gb,"Flash Disk USB 8GB","<p>Flash Disk USB 8GB</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,flash-disk-usb-8gb,shopify,100,deny,manual,0.00,true,true,active
flash-disk-usb-16gb,"Flash Disk USB 16GB","<p>Flash Disk USB 16GB</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,flash-disk-usb-16gb,shopify,100,deny,manual,0.00,true,true,active
flash-disk-usb-32gb,"Flash Disk USB 32GB","<p>Flash Disk USB 32GB</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,flash-disk-usb-32gb,shopify,100,deny,manual,0.00,true,true,active
mouse-pad,"Mouse Pad","<p>Mouse Pad</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,mouse-pad,shopify,100,deny,manual,0.00,true,true,active
wireless-mouse,"Wireless Mouse","<p>Wireless Mouse</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,wireless-mouse,shopify,100,deny,manual,0.00,true,true,active
pointer,"Pointer","<p>Pointer</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,pointer,shopify,100,deny,manual,0.00,true,true,active
cable-extension-roll,"Cable Extension Roll","<p>Cable Extension Roll</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,cable-extension-roll,shopify,100,deny,manual,0.00,true,true,active
cable-extension-regular,"Cable Extension Regular","<p>Cable Extension Regular</p>",KlicknKart,Office Supplies,"ICT & Accessories","ICT & Accessories,stationery,office-supplies",true,Title,Default Title,cable-extension-regular,shopify,100,deny,manual,0.00,true,true,active
spiral-note-book-a5,"Spiral Note Book A5","<p>Spiral Note Book A5</p>",KlicknKart,Office Supplies,"Books & Notes","Books & Notes,stationery,office-supplies",true,Title,Default Title,spiral-note-book-a5,shopify,100,deny,manual,0.00,true,true,active
spiral-note-book-large,"Spiral Note Book Large","<p>Spiral Note Book Large</p>",KlicknKart,Office Supplies,"Books & Notes","Books & Notes,stationery,office-supplies",true,Title,Default Title,spiral-note-book-large,shopify,100,deny,manual,0.00,true,true,active
spiral-note-book-small,"Spiral Note Book Small","<p>Spiral Note Book Small</p>",KlicknKart,Office Supplies,"Books & Notes","Books & Notes,stationery,office-supplies",true,Title,Default Title,spiral-note-book-small,shopify,100,deny,manual,0.00,true,true,active
sign-here-flag,"Sign Here Flag","<p>Sign Here Flag</p>",KlicknKart,Office Supplies,"Books & Notes","Books & Notes,stationery,office-supplies",true,Title,Default Title,sign-here-flag,shopify,100,deny,manual,0.00,true,true,active
stick-notes-654,"Stick Notes 654","<p>Stick Notes 654</p>",KlicknKart,Office Supplies,"Books & Notes","Books & Notes,stationery,office-supplies",true,Title,Default Title,stick-notes-654,shopify,100,deny,manual,0.00,true,true,active
stick-notes-655,"Stick Notes 655","<p>Stick Notes 655</p>",KlicknKart,Office Supplies,"Books & Notes","Books & Notes,stationery,office-supplies",true,Title,Default Title,stick-notes-655,shopify,100,deny,manual,0.00,true,true,active
stick-notes-656,"Stick Notes 656","<p>Stick Notes 656</p>",KlicknKart,Office Supplies,"Books & Notes","Books & Notes,stationery,office-supplies",true,Title,Default Title,stick-notes-656,shopify,100,deny,manual,0.00,true,true,active
white-board-large,"White Board Large","<p>White Board Large</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,white-board-large,shopify,100,deny,manual,0.00,true,true,active
white-board-150mm-x-100mm-medium,"White Board 150mm x 100mm (Medium)","<p>White Board 150mm x 100mm (Medium)</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,white-board-150mm-x-100mm-medium,shopify,100,deny,manual,0.00,true,true,active
white-board-eraser,"White Board Eraser","<p>White Board Eraser</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,white-board-eraser,shopify,100,deny,manual,0.00,true,true,active
flip-chart,"Flip Chart","<p>Flip Chart</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,flip-chart,shopify,100,deny,manual,0.00,true,true,active
flip-chart-paper,"Flip Chart Paper","<p>Flip Chart Paper</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,flip-chart-paper,shopify,100,deny,manual,0.00,true,true,active
white-board-marker-black,"White Board Marker Black","<p>White Board Marker Black</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,white-board-marker-black,shopify,100,deny,manual,0.00,true,true,active
white-board-marker-blue,"White Board Marker Blue","<p>White Board Marker Blue</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,white-board-marker-blue,shopify,100,deny,manual,0.00,true,true,active
white-board-marker-red,"White Board Marker Red","<p>White Board Marker Red</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,white-board-marker-red,shopify,100,deny,manual,0.00,true,true,active
white-board-marker-green,"White Board Marker Green","<p>White Board Marker Green</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,white-board-marker-green,shopify,100,deny,manual,0.00,true,true,active
permanent-marker-black,"Permanent Marker Black","<p>Permanent Marker Black</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,permanent-marker-black,shopify,100,deny,manual,0.00,true,true,active
permanent-marker-blue,"Permanent Marker Blue","<p>Permanent Marker Blue</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,permanent-marker-blue,shopify,100,deny,manual,0.00,true,true,active
permanent-marker-red,"Permanent Marker Red","<p>Permanent Marker Red</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,permanent-marker-red,shopify,100,deny,manual,0.00,true,true,active
permanent-marker-green,"Permanent Marker Green","<p>Permanent Marker Green</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,permanent-marker-green,shopify,100,deny,manual,0.00,true,true,active
highlighter-yellow,"Highlighter Yellow","<p>Highlighter Yellow</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,highlighter-yellow,shopify,100,deny,manual,0.00,true,true,active
highlighter-green,"Highlighter Green","<p>Highlighter Green</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,highlighter-green,shopify,100,deny,manual,0.00,true,true,active
highlighter-blue,"Highlighter Blue","<p>Highlighter Blue</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,highlighter-blue,shopify,100,deny,manual,0.00,true,true,active
highlighter-pink,"Highlighter Pink","<p>Highlighter Pink</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,highlighter-pink,shopify,100,deny,manual,0.00,true,true,active
